timestamp,sensor_id,sensor_type,sensor_value,location,alert
03-03-2025 11:45,S10,motion,OFF,bedroom,normal
03-03-2025 11:46,S15,door,CLOSED,garage,normal
03-03-2025 11:47,S4,door,OPEN,front_door,normal
03-03-2025 11:50,S31,camera,TRIGGERED,garage,normal
03-03-2025 11:50,S30,glass_break,DETECTED,front_door,anomaly
03-03-2025 11:50,S9,motion,ON,garage,normal
03-03-2025 11:51,S4,motion,ON,bathroom,normal
03-03-2025 11:54,S14,door,OPEN,bedroom,normal
03-03-2025 11:58,S17,temperature,24,garage,normal
03-03-2025 11:59,S46,camera,IDLE,bathroom,normal
03-03-2025 12:01,S35,door,CLOSED,bathroom,normal
03-03-2025 12:02,S46,motion,ON,backyard,normal
03-03-2025 12:02,S4,door,CLOSED,bathroom,normal
03-03-2025 12:04,S7,glass_break,NONE,backyard,normal
03-03-2025 12:04,S24,glass_break,DETECTED,front_door,anomaly
03-03-2025 12:04,S46,motion,OFF,kitchen,normal
03-03-2025 12:06,S2,door,CLOSED,bathroom,normal
03-03-2025 12:06,S13,window,OPEN,front_door,normal
03-03-2025 12:07,S1,camera,TRIGGERED,kitchen,normal
03-03-2025 12:07,S37,camera,TRIGGERED,bedroom,normal
03-03-2025 12:08,S9,window,CLOSED,kitchen,normal
03-03-2025 12:08,S1,window,OPEN,backyard,normal
03-03-2025 12:09,S1,window,CLOSED,front_door,normal
03-03-2025 12:09,S39,camera,TRIGGERED,backyard,normal
03-03-2025 12:10,S2,camera,IDLE,backyard,normal
03-03-2025 12:10,S40,temperature,29,bedroom,normal
03-03-2025 12:11,S30,temperature,24,bedroom,normal
03-03-2025 12:12,S44,motion,ON,living_room,normal
03-03-2025 12:12,S33,door,CLOSED,living_room,normal
03-03-2025 12:13,S48,temperature,27,bathroom,normal
03-03-2025 12:14,S46,window,OPEN,front_door,normal
03-03-2025 12:15,S32,glass_break,NONE,front_door,normal
03-03-2025 12:17,S10,motion,ON,garage,normal
03-03-2025 12:20,S27,door,OPEN,backyard,normal
03-03-2025 12:21,S48,motion,OFF,bedroom,normal
03-03-2025 12:21,S3,temperature,25,living_room,normal
03-03-2025 12:23,S27,window,OPEN,bedroom,normal
03-03-2025 12:23,S38,motion,OFF,bedroom,normal
03-03-2025 12:23,S4,temperature,21,bedroom,normal
03-03-2025 12:26,S39,temperature,23,front_door,normal
03-03-2025 12:26,S36,door,CLOSED,front_door,normal
03-03-2025 12:27,S34,door,OPEN,kitchen,normal
03-03-2025 12:28,S34,door,CLOSED,front_door,normal
03-03-2025 12:29,S46,motion,OFF,living_room,normal
03-03-2025 12:29,S27,door,CLOSED,bathroom,normal
03-03-2025 12:30,S50,window,CLOSED,living_room,normal
03-03-2025 12:31,S45,temperature,16,bedroom,normal
03-03-2025 12:33,S40,motion,OFF,bedroom,normal
03-03-2025 12:34,S11,camera,IDLE,front_door,normal
03-03-2025 12:34,S45,door,OPEN,bedroom,normal
03-03-2025 12:38,S5,window,CLOSED,living_room,normal
03-03-2025 12:40,S34,window,OPEN,front_door,normal
03-03-2025 12:41,S47,camera,IDLE,bedroom,normal
03-03-2025 12:42,S8,motion,OFF,garage,normal
03-03-2025 12:43,S25,temperature,29,bedroom,normal
03-03-2025 12:45,S4,camera,TRIGGERED,garage,normal
03-03-2025 12:46,S15,glass_break,DETECTED,backyard,anomaly
03-03-2025 12:47,S9,motion,ON,kitchen,normal
03-03-2025 12:47,S28,glass_break,NONE,bedroom,normal
03-03-2025 12:49,S21,window,CLOSED,garage,normal
03-03-2025 12:49,S50,camera,TRIGGERED,front_door,normal
03-03-2025 12:49,S40,door,OPEN,bathroom,normal
03-03-2025 12:49,S48,camera,IDLE,bathroom,normal
03-03-2025 12:49,S39,camera,IDLE,front_door,normal
03-03-2025 12:50,S14,temperature,17,living_room,normal
03-03-2025 12:50,S37,glass_break,DETECTED,garage,anomaly
03-03-2025 12:51,S30,glass_break,NONE,bedroom,normal
03-03-2025 12:52,S43,door,OPEN,bathroom,normal
03-03-2025 12:53,S13,motion,ON,bedroom,normal
03-03-2025 12:53,S22,camera,IDLE,backyard,normal
03-03-2025 12:55,S4,door,OPEN,kitchen,normal
03-03-2025 12:55,S47,window,OPEN,front_door,normal
03-03-2025 12:59,S38,glass_break,DETECTED,garage,anomaly
03-03-2025 13:01,S33,camera,IDLE,bathroom,normal
03-03-2025 13:01,S11,door,OPEN,kitchen,normal
03-03-2025 13:02,S6,camera,TRIGGERED,backyard,normal
03-03-2025 13:02,S18,door,OPEN,bedroom,normal
03-03-2025 13:07,S17,window,OPEN,bathroom,normal
03-03-2025 13:07,S21,window,CLOSED,kitchen,normal
03-03-2025 13:08,S47,door,OPEN,kitchen,normal
03-03-2025 13:11,S48,motion,OFF,backyard,normal
03-03-2025 13:12,S19,temperature,15,backyard,normal
03-03-2025 13:13,S20,temperature,23,kitchen,normal
03-03-2025 13:14,S26,door,OPEN,backyard,normal
03-03-2025 13:16,S37,window,CLOSED,bathroom,normal
03-03-2025 13:16,S28,camera,TRIGGERED,bedroom,normal
03-03-2025 13:17,S6,door,OPEN,garage,normal
03-03-2025 13:19,S13,glass_break,DETECTED,garage,anomaly
03-03-2025 13:21,S11,motion,ON,living_room,normal
03-03-2025 13:21,S33,glass_break,NONE,bedroom,normal
03-03-2025 13:21,S9,window,OPEN,bathroom,normal
03-03-2025 13:21,S36,glass_break,DETECTED,bathroom,anomaly
03-03-2025 13:23,S11,motion,OFF,bathroom,normal
03-03-2025 13:24,S48,motion,OFF,kitchen,normal
03-03-2025 13:24,S6,glass_break,DETECTED,garage,anomaly
03-03-2025 13:27,S34,temperature,26,bedroom,normal
03-03-2025 13:28,S44,motion,ON,bedroom,normal
03-03-2025 13:28,S4,window,CLOSED,living_room,normal
03-03-2025 13:28,S29,window,CLOSED,garage,normal
03-03-2025 13:30,S41,motion,ON,bedroom,normal
03-03-2025 13:31,S27,camera,TRIGGERED,front_door,normal
03-03-2025 13:31,S38,glass_break,DETECTED,bedroom,anomaly
03-03-2025 13:31,S22,glass_break,DETECTED,garage,anomaly
03-03-2025 13:31,S25,window,OPEN,bathroom,normal
03-03-2025 13:32,S4,camera,TRIGGERED,backyard,normal
03-03-2025 13:33,S21,camera,TRIGGERED,living_room,normal
03-03-2025 13:33,S44,glass_break,DETECTED,backyard,anomaly
03-03-2025 13:35,S50,camera,TRIGGERED,kitchen,normal
03-03-2025 13:37,S40,camera,TRIGGERED,bathroom,normal
03-03-2025 13:37,S43,door,OPEN,living_room,normal
03-03-2025 13:37,S13,motion,OFF,bathroom,normal
03-03-2025 13:37,S3,camera,IDLE,bathroom,normal
03-03-2025 13:38,S35,window,OPEN,kitchen,normal
03-03-2025 13:38,S18,motion,ON,bedroom,normal
03-03-2025 13:39,S21,door,OPEN,living_room,normal
03-03-2025 13:39,S17,temperature,26,backyard,normal
03-03-2025 13:40,S19,glass_break,NONE,bathroom,normal
03-03-2025 13:41,S47,temperature,30,front_door,normal
03-03-2025 13:41,S24,glass_break,NONE,bedroom,normal
03-03-2025 13:42,S46,window,OPEN,garage,normal
03-03-2025 13:44,S36,camera,IDLE,backyard,normal
03-03-2025 13:47,S49,camera,IDLE,bathroom,normal
03-03-2025 13:48,S20,temperature,16,backyard,normal
03-03-2025 13:51,S49,window,CLOSED,living_room,normal
03-03-2025 13:51,S32,temperature,30,garage,normal
03-03-2025 13:51,S27,window,OPEN,garage,normal
03-03-2025 13:52,S20,temperature,25,front_door,normal
03-03-2025 13:52,S24,glass_break,DETECTED,living_room,anomaly
03-03-2025 13:54,S13,camera,IDLE,garage,normal
03-03-2025 13:57,S23,motion,OFF,garage,normal
03-03-2025 13:58,S40,glass_break,DETECTED,living_room,anomaly
03-03-2025 14:01,S30,camera,TRIGGERED,kitchen,normal
03-03-2025 14:02,S36,motion,OFF,kitchen,normal
03-03-2025 14:02,S25,door,OPEN,garage,normal
03-03-2025 14:03,S14,camera,TRIGGERED,garage,normal
03-03-2025 14:05,S24,door,OPEN,bathroom,normal
03-03-2025 14:09,S16,glass_break,DETECTED,front_door,anomaly
03-03-2025 14:09,S39,window,OPEN,living_room,normal
03-03-2025 14:10,S26,motion,ON,garage,normal
03-03-2025 14:10,S10,glass_break,DETECTED,front_door,anomaly
03-03-2025 14:12,S1,camera,TRIGGERED,backyard,normal
03-03-2025 14:15,S33,camera,IDLE,backyard,normal
03-03-2025 14:15,S37,camera,IDLE,living_room,normal
